"power","x","Methods"
"1",0.0444777611194403,0,"Ku"
"2",0.0449775112443778,0,"K5"
"3",0.047976011994003,0,"Kw"
"4",0.0399800099950025,0,"Kopt"
"5",0.0419790104947526,0,"aMiSPUw"
"6",0.0384807596201899,0,"MiSPUu2"
"7",0.0384807596201899,0,"aMiSPUuinf"
"8",0.0339830084957521,0,"aMiSPUu"
"9",0.0374812593703148,0,"aMiSPU"
"10",0.0579420579420579,0.5,"Ku"
"11",0.0569430569430569,0.5,"K5"
"12",0.048951048951049,0.5,"Kw"
"13",0.044955044955045,0.5,"Kopt"
"14",0.046953046953047,0.5,"aMiSPUw"
"15",0.0829170829170829,0.5,"MiSPUu2"
"16",0.0879120879120879,0.5,"aMiSPUuinf"
"17",0.0849150849150849,0.5,"aMiSPUu"
"18",0.0809190809190809,0.5,"aMiSPU"
"19",0.0929070929070929,1,"Ku"
"20",0.0689310689310689,1,"K5"
"21",0.046953046953047,1,"Kw"
"22",0.0659340659340659,1,"Kopt"
"23",0.038961038961039,1,"aMiSPUw"
"24",0.150849150849151,1,"MiSPUu2"
"25",0.180819180819181,1,"aMiSPUuinf"
"26",0.170829170829171,1,"aMiSPUu"
"27",0.122877122877123,1,"aMiSPU"
"28",0.208791208791209,2,"Ku"
"29",0.170829170829171,2,"K5"
"30",0.0819180819180819,2,"Kw"
"31",0.158841158841159,2,"Kopt"
"32",0.0999000999000999,2,"aMiSPUw"
"33",0.42957042957043,2,"MiSPUu2"
"34",0.534465534465534,2,"aMiSPUuinf"
"35",0.519480519480519,2,"aMiSPUu"
"36",0.432567432567433,2,"aMiSPU"
"37",0.355644355644356,3,"Ku"
"38",0.255744255744256,3,"K5"
"39",0.105894105894106,3,"Kw"
"40",0.281718281718282,3,"Kopt"
"41",0.160839160839161,3,"aMiSPUw"
"42",0.649350649350649,3,"MiSPUu2"
"43",0.784215784215784,3,"aMiSPUuinf"
"44",0.746253746253746,3,"aMiSPUu"
"45",0.674325674325674,3,"aMiSPU"
"46",0.515484515484515,4,"Ku"
"47",0.380619380619381,4,"K5"
"48",0.106893106893107,4,"Kw"
"49",0.416583416583417,4,"Kopt"
"50",0.262737262737263,4,"aMiSPUw"
"51",0.837162837162837,4,"MiSPUu2"
"52",0.925074925074925,4,"aMiSPUuinf"
"53",0.913086913086913,4,"aMiSPUu"
"54",0.864135864135864,4,"aMiSPU"
"55",0.671328671328671,5,"Ku"
"56",0.536463536463537,5,"K5"
"57",0.142857142857143,5,"Kw"
"58",0.617382617382617,5,"Kopt"
"59",0.394605394605395,5,"aMiSPUw"
"60",0.93006993006993,5,"MiSPUu2"
"61",0.976023976023976,5,"aMiSPUuinf"
"62",0.966033966033966,5,"aMiSPUu"
"63",0.953046953046953,5,"aMiSPU"
