"power","x","Methods"
"1",0.0568124685771745,0,"Kbc"
"2",0.0537958773252891,0,"Ku"
"3",0.0593262946204123,0,"K5"
"4",0.0548014077425842,0,"Kw"
"5",0.0578179989944696,0,"Kopt"
"6",0.0532931121166415,0,"MiSPUw2"
"7",0.0487682252388135,0,"MiSPUwinf"
"8",0.0442433383609854,0,"aMiSPUw"
"9",0.0477626948215183,0,"aMiSPUu"
"10",0.0512820512820513,0,"aMiSPU"
"11",0.0669330669330669,0.2,"Kbc"
"12",0.040959040959041,0.2,"Ku"
"13",0.0649350649350649,0.2,"K5"
"14",0.0659340659340659,0.2,"Kw"
"15",0.0599400599400599,0.2,"Kopt"
"16",0.0699300699300699,0.2,"MiSPUw2"
"17",0.0529470529470529,0.2,"MiSPUwinf"
"18",0.0609390609390609,0.2,"aMiSPUw"
"19",0.041958041958042,0.2,"aMiSPUu"
"20",0.0549450549450549,0.2,"aMiSPU"
"21",0.202797202797203,0.4,"Kbc"
"22",0.04995004995005,0.4,"Ku"
"23",0.107892107892108,0.4,"K5"
"24",0.182817182817183,0.4,"Kw"
"25",0.154845154845155,0.4,"Kopt"
"26",0.188811188811189,0.4,"MiSPUw2"
"27",0.118881118881119,0.4,"MiSPUwinf"
"28",0.16983016983017,0.4,"aMiSPUw"
"29",0.051948051948052,0.4,"aMiSPUu"
"30",0.134865134865135,0.4,"aMiSPU"
"31",0.402623612512614,0.6,"Kbc"
"32",0.053481331987891,0.6,"Ku"
"33",0.191725529767911,0.6,"K5"
"34",0.376387487386478,0.6,"Kw"
"35",0.311806256306761,0.6,"Kopt"
"36",0.37941473259334,0.6,"MiSPUw2"
"37",0.215943491422805,0.6,"MiSPUwinf"
"38",0.324924318869828,0.6,"aMiSPUw"
"39",0.0403632694248234,0.6,"aMiSPUu"
"40",0.247225025227043,0.6,"aMiSPU"
"41",0.579212916246216,0.8,"Kbc"
"42",0.0514631685166499,0.8,"Ku"
"43",0.296670030272452,0.8,"K5"
"44",0.546922300706357,0.8,"Kw"
"45",0.461150353178607,0.8,"Kopt"
"46",0.565085771947528,0.8,"MiSPUw2"
"47",0.366296670030272,0.8,"MiSPUwinf"
"48",0.520686175580222,0.8,"aMiSPUw"
"49",0.0524722502522704,0.8,"aMiSPUu"
"50",0.438950554994955,0.8,"aMiSPU"
"51",0.748230535894843,1,"Kbc"
"52",0.0647118301314459,1,"Ku"
"53",0.447927199191102,1,"K5"
"54",0.731041456016178,1,"Kw"
"55",0.666329625884732,1,"Kopt"
"56",0.765419615773509,1,"MiSPUw2"
"57",0.567239635995956,1,"MiSPUwinf"
"58",0.722952477249747,1,"aMiSPUw"
"59",0.0505561172901921,1,"aMiSPUu"
"60",0.633973710819009,1,"aMiSPU"
"61",0.864509605662285,1.2,"Kbc"
"62",0.057633973710819,1.2,"Ku"
"63",0.570273003033367,1.2,"K5"
"64",0.837209302325581,1.2,"Kw"
"65",0.786653185035389,1.2,"Kopt"
"66",0.849342770475228,1.2,"MiSPUw2"
"67",0.680485338725986,1.2,"MiSPUwinf"
"68",0.825075834175935,1.2,"aMiSPUw"
"69",0.0525783619817998,1.2,"aMiSPUu"
"70",0.765419615773509,1.2,"aMiSPU"
"71",0.937310414560162,1.5,"Kbc"
"72",0.0748230535894843,1.5,"Ku"
"73",0.728008088978766,1.5,"K5"
"74",0.929221435793731,1.5,"Kw"
"75",0.901921132457027,1.5,"Kopt"
"76",0.943377148634985,1.5,"MiSPUw2"
"77",0.839231547017189,1.5,"MiSPUwinf"
"78",0.931243680485339,1.5,"aMiSPUw"
"79",0.0566228513650152,1.5,"aMiSPUu"
"80",0.8948432760364,1.5,"aMiSPU"
