"power","x","Methods"
"1",0.0599700149925037,0,"Ku"
"2",0.0614692653673163,0,"K5"
"3",0.0574712643678161,0,"Kw"
"4",0.0589705147426287,0,"Kopt"
"5",0.0549725137431284,0,"aMiSPUw"
"6",0.047976011994003,0,"MiSPUu2"
"7",0.0444777611194403,0,"aMiSPUuinf"
"8",0.0459770114942529,0,"aMiSPUu"
"9",0.0454772613693153,0,"aMiSPU"
"10",0.04995004995005,0.5,"Ku"
"11",0.040959040959041,0.5,"K5"
"12",0.035964035964036,0.5,"Kw"
"13",0.042957042957043,0.5,"Kopt"
"14",0.038961038961039,0.5,"aMiSPUw"
"15",0.0629370629370629,0.5,"MiSPUu2"
"16",0.0539460539460539,0.5,"aMiSPUuinf"
"17",0.0639360639360639,0.5,"aMiSPUu"
"18",0.050949050949051,0.5,"aMiSPU"
"19",0.0639360639360639,1,"Ku"
"20",0.0569430569430569,1,"K5"
"21",0.0549450549450549,1,"Kw"
"22",0.0529470529470529,1,"Kopt"
"23",0.0539460539460539,1,"aMiSPUw"
"24",0.04995004995005,1,"MiSPUu2"
"25",0.0529470529470529,1,"aMiSPUuinf"
"26",0.0599400599400599,1,"aMiSPUu"
"27",0.048951048951049,1,"aMiSPU"
"28",0.102897102897103,2,"Ku"
"29",0.0829170829170829,2,"K5"
"30",0.0569430569430569,2,"Kw"
"31",0.0729270729270729,2,"Kopt"
"32",0.044955044955045,2,"aMiSPUw"
"33",0.0999000999000999,2,"MiSPUu2"
"34",0.0559440559440559,2,"aMiSPUuinf"
"35",0.0819180819180819,2,"aMiSPUu"
"36",0.0669330669330669,2,"aMiSPU"
"37",0.142857142857143,3,"Ku"
"38",0.0969030969030969,3,"K5"
"39",0.0699300699300699,3,"Kw"
"40",0.0999000999000999,3,"Kopt"
"41",0.040959040959041,3,"aMiSPUw"
"42",0.148851148851149,3,"MiSPUu2"
"43",0.04995004995005,3,"aMiSPUuinf"
"44",0.106893106893107,3,"aMiSPUu"
"45",0.0699300699300699,3,"aMiSPU"
"46",0.220779220779221,4,"Ku"
"47",0.125874125874126,4,"K5"
"48",0.0829170829170829,4,"Kw"
"49",0.167832167832168,4,"Kopt"
"50",0.050949050949051,4,"aMiSPUw"
"51",0.224775224775225,4,"MiSPUu2"
"52",0.0699300699300699,4,"aMiSPUuinf"
"53",0.170829170829171,4,"aMiSPUu"
"54",0.12987012987013,4,"aMiSPU"
"55",0.307692307692308,5,"Ku"
"56",0.144855144855145,5,"K5"
"57",0.0759240759240759,5,"Kw"
"58",0.223776223776224,5,"Kopt"
"59",0.0559440559440559,5,"aMiSPUw"
"60",0.311688311688312,5,"MiSPUu2"
"61",0.0719280719280719,5,"aMiSPUuinf"
"62",0.23976023976024,5,"aMiSPUu"
"63",0.161838161838162,5,"aMiSPU"
