"power","x","Methods"
"1",0.0537958773252891,0,"Ku"
"2",0.0598290598290598,0,"K5"
"3",0.0548014077425842,0,"Kw"
"4",0.0583207642031171,0,"Kopt"
"5",0.0437405731523379,0,"aMiSPUw"
"6",0.0482654600301659,0,"MiSPUu2"
"7",0.0457516339869281,0,"aMiSPUuinf"
"8",0.0472599296128708,0,"aMiSPUu"
"9",0.0507792860734037,0,"aMiSPU"
"10",0.0779220779220779,0.5,"Ku"
"11",0.0819180819180819,0.5,"K5"
"12",0.0629370629370629,0.5,"Kw"
"13",0.0789210789210789,0.5,"Kopt"
"14",0.12987012987013,0.5,"aMiSPUw"
"15",0.130869130869131,0.5,"MiSPUu2"
"16",0.156843156843157,0.5,"aMiSPUuinf"
"17",0.156843156843157,0.5,"aMiSPUu"
"18",0.173826173826174,0.5,"aMiSPU"
"19",0.166833166833167,1,"Ku"
"20",0.171828171828172,1,"K5"
"21",0.0959040959040959,1,"Kw"
"22",0.145854145854146,1,"Kopt"
"23",0.373626373626374,1,"aMiSPUw"
"24",0.34965034965035,1,"MiSPUu2"
"25",0.460539460539461,1,"aMiSPUuinf"
"26",0.428571428571429,1,"aMiSPUu"
"27",0.480519480519481,1,"aMiSPU"
"28",0.403,2,"Ku"
"29",0.447,2,"K5"
"30",0.168,2,"Kw"
"31",0.434,2,"Kopt"
"32",0.738,2,"aMiSPUw"
"33",0.709,2,"MiSPUu2"
"34",0.817,2,"aMiSPUuinf"
"35",0.803,2,"aMiSPUu"
"36",0.872,2,"aMiSPU"
"37",0.665330661322645,3,"Ku"
"38",0.67434869739479,3,"K5"
"39",0.274549098196393,3,"Kw"
"40",0.693386773547094,3,"Kopt"
"41",0.912825651302605,3,"aMiSPUw"
"42",0.907815631262525,3,"MiSPUu2"
"43",0.965931863727455,3,"aMiSPUuinf"
"44",0.958917835671343,3,"aMiSPUu"
"45",0.981963927855711,3,"aMiSPU"
"46",0.815261044176707,4,"Ku"
"47",0.811244979919679,4,"K5"
"48",0.392570281124498,4,"Kw"
"49",0.852409638554217,4,"Kopt"
"50",0.948795180722892,4,"aMiSPUw"
"51",0.968875502008032,4,"MiSPUu2"
"52",0.991967871485944,4,"aMiSPUuinf"
"53",0.98995983935743,4,"aMiSPUu"
"54",0.993975903614458,4,"aMiSPU"
"55",0.915065722952477,5,"Ku"
"56",0.918099089989889,5,"K5"
"57",0.520728008088979,5,"Kw"
"58",0.935288169868554,5,"Kopt"
"59",0.978766430738119,5,"aMiSPUw"
"60",0.992922143579373,5,"MiSPUu2"
"61",0.995955510616785,5,"aMiSPUuinf"
"62",0.995955510616785,5,"aMiSPUu"
"63",0.998988877654196,5,"aMiSPU"
