"power","x","Methods"
"1",0.0523138832997988,0,"1"
"2",0.0427565392354125,0,"2"
"3",0.0497987927565392,0,"3"
"4",0.0528169014084507,0,"4"
"5",0.0467806841046278,0,"5"
"6",0.0392354124748491,0,"6"
"7",0.045271629778672,0,"7"
"8",0.0538229376257545,0,"8"
"9",0.0528169014084507,0,"9"
"10",0.0482897384305835,0,"10"
"11",0.0579420579420579,0.2,"1"
"12",0.044955044955045,0.2,"2"
"13",0.031968031968032,0.2,"3"
"14",0.046953046953047,0.2,"4"
"15",0.035964035964036,0.2,"5"
"16",0.038961038961039,0.2,"6"
"17",0.044955044955045,0.2,"7"
"18",0.046953046953047,0.2,"8"
"19",0.03996003996004,0.2,"9"
"20",0.0539460539460539,0.2,"10"
"21",0.100899100899101,0.4,"1"
"22",0.03996003996004,0.4,"2"
"23",0.048951048951049,0.4,"3"
"24",0.0809190809190809,0.4,"4"
"25",0.0669330669330669,0.4,"5"
"26",0.051948051948052,0.4,"6"
"27",0.0559440559440559,0.4,"7"
"28",0.0559440559440559,0.4,"8"
"29",0.047952047952048,0.4,"9"
"30",0.0699300699300699,0.4,"10"
"31",0.158266129032258,0.6,"1"
"32",0.0524193548387097,0.6,"2"
"33",0.0796370967741935,0.6,"3"
"34",0.131048387096774,0.6,"4"
"35",0.0977822580645161,0.6,"5"
"36",0.0967741935483871,0.6,"6"
"37",0.0846774193548387,0.6,"7"
"38",0.0524193548387097,0.6,"8"
"39",0.0685483870967742,0.6,"9"
"40",0.120967741935484,0.6,"10"
"41",0.205852674066599,0.8,"1"
"42",0.0544904137235116,0.8,"2"
"43",0.0635721493440969,0.8,"3"
"44",0.146316851664985,0.8,"4"
"45",0.114026236125126,0.8,"5"
"46",0.126135216952573,0.8,"6"
"47",0.0988900100908174,0.8,"7"
"48",0.0484359233097881,0.8,"8"
"49",0.082744702320888,0.8,"9"
"50",0.174571140262361,0.8,"10"
"51",0.28412537917088,1,"1"
"52",0.0444893832153691,1,"2"
"53",0.0859453993933266,1,"3"
"54",0.215369059656218,1,"4"
"55",0.168857431749242,1,"5"
"56",0.158746208291203,1,"6"
"57",0.129423660262892,1,"7"
"58",0.051567239635996,1,"8"
"59",0.102123356926188,1,"9"
"60",0.242669362992922,1,"10"
"61",0.36336032388664,1.2,"1"
"62",0.0566801619433198,1.2,"2"
"63",0.139676113360324,1.2,"3"
"64",0.299595141700405,1.2,"4"
"65",0.239878542510121,1.2,"5"
"66",0.240890688259109,1.2,"6"
"67",0.209514170040486,1.2,"7"
"68",0.0435222672064777,1.2,"8"
"69",0.146761133603239,1.2,"9"
"70",0.332995951417004,1.2,"10"
"71",0.523279352226721,1.5,"1"
"72",0.0445344129554656,1.5,"2"
"73",0.200404858299595,1.5,"3"
"74",0.425101214574899,1.5,"4"
"75",0.367408906882591,1.5,"5"
"76",0.346153846153846,1.5,"6"
"77",0.307692307692308,1.5,"7"
"78",0.0526315789473684,1.5,"8"
"79",0.232793522267206,1.5,"9"
"80",0.449392712550607,1.5,"10"
