"power","x","Methods"
"1",0.0549725137431284,0,"Ku"
"2",0.0669665167416292,0,"K5"
"3",0.0559720139930035,0,"Kw"
"4",0.0569715142428786,0,"Kopt"
"5",0.0524737631184408,0,"MiSPUw2"
"6",0.0524737631184408,0,"MiSPUwinf"
"7",0.0529735132433783,0,"aMiSPUw"
"8",0.0529735132433783,0,"aMiSPUu"
"9",0.0529735132433783,0,"aMiSPU"
"10",0.0749250749250749,0.6,"Ku"
"11",0.128871128871129,0.6,"K5"
"12",0.12987012987013,0.6,"Kw"
"13",0.107892107892108,0.6,"Kopt"
"14",0.176823176823177,0.6,"MiSPUw2"
"15",0.250749250749251,0.6,"MiSPUwinf"
"16",0.244755244755245,0.6,"aMiSPUw"
"17",0.0579420579420579,0.6,"aMiSPUu"
"18",0.193806193806194,0.6,"aMiSPU"
"19",0.0669330669330669,0.8,"Ku"
"20",0.223776223776224,0.8,"K5"
"21",0.214785214785215,0.8,"Kw"
"22",0.155844155844156,0.8,"Kopt"
"23",0.286713286713287,0.8,"MiSPUw2"
"24",0.400599400599401,0.8,"MiSPUwinf"
"25",0.37962037962038,0.8,"aMiSPUw"
"26",0.0739260739260739,0.8,"aMiSPUu"
"27",0.300699300699301,0.8,"aMiSPU"
"28",0.0829170829170829,1.2,"Ku"
"29",0.430569430569431,1.2,"K5"
"30",0.435564435564436,1.2,"Kw"
"31",0.330669330669331,1.2,"Kopt"
"32",0.566433566433566,1.2,"MiSPUw2"
"33",0.672327672327672,1.2,"MiSPUwinf"
"34",0.658341658341658,1.2,"aMiSPUw"
"35",0.0939060939060939,1.2,"aMiSPUu"
"36",0.575424575424575,1.2,"aMiSPU"
"37",0.101898101898102,1.6,"Ku"
"38",0.617382617382617,1.6,"K5"
"39",0.619380619380619,1.6,"Kw"
"40",0.494505494505495,1.6,"Kopt"
"41",0.724275724275724,1.6,"MiSPUw2"
"42",0.808191808191808,1.6,"MiSPUwinf"
"43",0.804195804195804,1.6,"aMiSPUw"
"44",0.11988011988012,1.6,"aMiSPUu"
"45",0.757242757242757,1.6,"aMiSPU"
"46",0.127872127872128,2,"Ku"
"47",0.755244755244755,2,"K5"
"48",0.747252747252747,2,"Kw"
"49",0.641358641358641,2,"Kopt"
"50",0.841158841158841,2,"MiSPUw2"
"51",0.902097902097902,2,"MiSPUwinf"
"52",0.906093906093906,2,"aMiSPUw"
"53",0.130869130869131,2,"aMiSPUu"
"54",0.856143856143856,2,"aMiSPU"
