"power","x","Methods"
"1",0.0503018108651912,0,"Kbc"
"2",0.051307847082495,0,"Ku"
"3",0.0477867203219316,0,"K5"
"4",0.0442655935613682,0,"Kw"
"5",0.0442655935613682,0,"Kopt"
"6",0.028672032193159,0,"MiSPUw2"
"7",0.0417505030181087,0,"MiSPUwinf"
"8",0.0352112676056338,0,"aMiSPUw"
"9",0.0533199195171026,0,"aMiSPUu"
"10",0.0503018108651912,0,"aMiSPU"
"11",0.0609390609390609,0.2,"Kbc"
"12",0.050949050949051,0.2,"Ku"
"13",0.0549450549450549,0.2,"K5"
"14",0.0599400599400599,0.2,"Kw"
"15",0.044955044955045,0.2,"Kopt"
"16",0.038961038961039,0.2,"MiSPUw2"
"17",0.04995004995005,0.2,"MiSPUwinf"
"18",0.044955044955045,0.2,"aMiSPUw"
"19",0.045954045954046,0.2,"aMiSPUu"
"20",0.048951048951049,0.2,"aMiSPU"
"21",0.105527638190955,0.4,"Kbc"
"22",0.0522613065326633,0.4,"Ku"
"23",0.0663316582914573,0.4,"K5"
"24",0.101507537688442,0.4,"Kw"
"25",0.0683417085427136,0.4,"Kopt"
"26",0.0603015075376884,0.4,"MiSPUw2"
"27",0.050251256281407,0.4,"MiSPUwinf"
"28",0.057286432160804,0.4,"aMiSPUw"
"29",0.0391959798994975,0.4,"aMiSPUu"
"30",0.0492462311557789,0.4,"aMiSPU"
"31",0.133937562940584,0.6,"Kbc"
"32",0.0604229607250755,0.6,"Ku"
"33",0.0614300100704935,0.6,"K5"
"34",0.116817724068479,0.6,"Kw"
"35",0.0866062437059416,0.6,"Kopt"
"36",0.094662638469285,0.6,"MiSPUw2"
"37",0.0614300100704935,0.6,"MiSPUwinf"
"38",0.0715005035246727,0.6,"aMiSPUw"
"39",0.0563947633434038,0.6,"aMiSPUu"
"40",0.0654582074521652,0.6,"aMiSPU"
"41",0.18989898989899,0.8,"Kbc"
"42",0.0393939393939394,0.8,"Ku"
"43",0.0868686868686869,0.8,"K5"
"44",0.162626262626263,0.8,"Kw"
"45",0.114141414141414,0.8,"Kopt"
"46",0.131313131313131,0.8,"MiSPUw2"
"47",0.0838383838383838,0.8,"MiSPUwinf"
"48",0.111111111111111,0.8,"aMiSPUw"
"49",0.0555555555555556,0.8,"aMiSPUu"
"50",0.095959595959596,0.8,"aMiSPU"
"51",0.28412537917088,1,"Kbc"
"52",0.0475227502527806,1,"Ku"
"53",0.138523761375126,1,"K5"
"54",0.252780586450961,1,"Kw"
"55",0.195146612740142,1,"Kopt"
"56",0.222446916076845,1,"MiSPUw2"
"57",0.112234580384226,1,"MiSPUwinf"
"58",0.185035389282103,1,"aMiSPUw"
"59",0.051567239635996,1,"aMiSPUu"
"60",0.140546006066734,1,"aMiSPU"
"61",0.345803842264914,1.2,"Kbc"
"62",0.0414560161779575,1.2,"Ku"
"63",0.155712841253792,1.2,"K5"
"64",0.30535894843276,1.2,"Kw"
"65",0.220424671385238,1.2,"Kopt"
"66",0.249747219413549,1.2,"MiSPUw2"
"67",0.124368048533873,1.2,"MiSPUwinf"
"68",0.216380182002022,1.2,"aMiSPUw"
"69",0.0505561172901921,1.2,"aMiSPUu"
"70",0.162790697674419,1.2,"aMiSPU"
"71",0.466599190283401,1.5,"Kbc"
"72",0.0495951417004049,1.5,"Ku"
"73",0.203441295546559,1.5,"K5"
"74",0.410931174089069,1.5,"Kw"
"75",0.321862348178138,1.5,"Kopt"
"76",0.378542510121458,1.5,"MiSPUw2"
"77",0.224696356275304,1.5,"MiSPUwinf"
"78",0.324898785425101,1.5,"aMiSPUw"
"79",0.0404858299595142,1.5,"aMiSPUu"
"80",0.259109311740891,1.5,"aMiSPU"
