"power","x","Methods"
"1",0.0568124685771745,0,"1"
"2",0.0537958773252891,0,"2"
"3",0.0593262946204123,0,"3"
"4",0.0548014077425842,0,"4"
"5",0.0578179989944696,0,"5"
"6",0.0532931121166415,0,"6"
"7",0.0442433383609854,0,"7"
"8",0.0477626948215183,0,"8"
"9",0.0512820512820513,0,"9"
"10",0.0603318250377074,0,"10"
"11",0.0739260739260739,0.2,"1"
"12",0.047952047952048,0.2,"2"
"13",0.047952047952048,0.2,"3"
"14",0.0719280719280719,0.2,"4"
"15",0.0549450549450549,0.2,"5"
"16",0.0589410589410589,0.2,"6"
"17",0.0569430569430569,0.2,"7"
"18",0.042957042957043,0.2,"8"
"19",0.050949050949051,0.2,"9"
"20",0.0679320679320679,0.2,"10"
"21",0.227772227772228,0.4,"1"
"22",0.0539460539460539,0.4,"2"
"23",0.124875124875125,0.4,"3"
"24",0.192807192807193,0.4,"4"
"25",0.15984015984016,0.4,"5"
"26",0.192807192807193,0.4,"6"
"27",0.154845154845155,0.4,"7"
"28",0.042957042957043,0.4,"8"
"29",0.115884115884116,0.4,"9"
"30",0.191808191808192,0.4,"10"
"31",0.410230692076229,0.6,"1"
"32",0.0601805416248746,0.6,"2"
"33",0.188565697091274,0.6,"3"
"34",0.348044132397192,0.6,"4"
"35",0.314944834503511,0.6,"5"
"36",0.332998996990973,0.6,"6"
"37",0.287863590772317,0.6,"7"
"38",0.0471414242728185,0.6,"8"
"39",0.229689067201605,0.6,"9"
"40",0.37111334002006,0.6,"10"
"41",0.617706237424547,0.8,"1"
"42",0.0442655935613682,0.8,"2"
"43",0.305835010060362,0.8,"3"
"44",0.528169014084507,0.8,"4"
"45",0.498993963782696,0.8,"5"
"46",0.535211267605634,0.8,"6"
"47",0.485915492957746,0.8,"7"
"48",0.0462776659959759,0.8,"8"
"49",0.39738430583501,0.8,"9"
"50",0.579476861167002,0.8,"10"
"51",0.782696177062374,1,"1"
"52",0.0603621730382294,1,"2"
"53",0.447686116700201,1,"3"
"54",0.709255533199195,1,"4"
"55",0.670020120724346,1,"5"
"56",0.701207243460765,1,"6"
"57",0.652917505030181,1,"7"
"58",0.0472837022132797,1,"8"
"59",0.563380281690141,1,"9"
"60",0.730382293762575,1,"10"
"61",0.873111782477341,1.2,"1"
"62",0.0644511581067472,1.2,"2"
"63",0.551863041289023,1.2,"3"
"64",0.811681772406848,1.2,"4"
"65",0.797583081570997,1.2,"5"
"66",0.808660624370594,1.2,"6"
"67",0.770392749244713,1.2,"7"
"68",0.0422960725075529,1.2,"8"
"69",0.680765357502518,1.2,"9"
"70",0.845921450151057,1.2,"10"
"71",0.955510616784631,1.5,"1"
"72",0.0667340748230536,1.5,"2"
"73",0.705763397371082,1.5,"3"
"74",0.9211324570273,1.5,"4"
"75",0.910010111223458,1.5,"5"
"76",0.90798786653185,1.5,"6"
"77",0.883720930232558,1.5,"7"
"78",0.0677451971688574,1.5,"8"
"79",0.816986855409505,1.5,"9"
"80",0.952477249747219,1.5,"10"
