"power","x","Methods"
"1",0.0517587939698492,0,"Ku"
"2",0.0547738693467337,0,"K5"
"3",0.0477386934673367,0,"Kw"
"4",0.0477386934673367,0,"Kopt"
"5",0.0442211055276382,0,"MiSPUw2"
"6",0.0417085427135678,0,"MiSPUwinf"
"7",0.0407035175879397,0,"aMiSPUw"
"8",0.0517587939698492,0,"aMiSPUu"
"9",0.0462311557788945,0,"aMiSPU"
"10",0.051948051948052,0.6,"Ku"
"11",0.0689310689310689,0.6,"K5"
"12",0.0719280719280719,0.6,"Kw"
"13",0.048951048951049,0.6,"Kopt"
"14",0.0649350649350649,0.6,"MiSPUw2"
"15",0.0649350649350649,0.6,"MiSPUwinf"
"16",0.0619380619380619,0.6,"aMiSPUw"
"17",0.0599400599400599,0.6,"aMiSPUu"
"18",0.0579420579420579,0.6,"aMiSPU"
"19",0.043956043956044,0.8,"Ku"
"20",0.0749250749250749,0.8,"K5"
"21",0.0909090909090909,0.8,"Kw"
"22",0.0619380619380619,0.8,"Kopt"
"23",0.0639360639360639,0.8,"MiSPUw2"
"24",0.0619380619380619,0.8,"MiSPUwinf"
"25",0.0669330669330669,0.8,"aMiSPUw"
"26",0.050949050949051,0.8,"aMiSPUu"
"27",0.050949050949051,0.8,"aMiSPU"
"28",0.04995004995005,1.2,"Ku"
"29",0.110889110889111,1.2,"K5"
"30",0.148851148851149,1.2,"Kw"
"31",0.0819180819180819,1.2,"Kopt"
"32",0.102897102897103,1.2,"MiSPUw2"
"33",0.0569430569430569,1.2,"MiSPUwinf"
"34",0.0839160839160839,1.2,"aMiSPUw"
"35",0.045954045954046,1.2,"aMiSPUu"
"36",0.0649350649350649,1.2,"aMiSPU"
"37",0.0343087790110999,1.6,"Ku"
"38",0.149344096871847,1.6,"K5"
"39",0.216952573158426,1.6,"Kw"
"40",0.12008072653885,1.6,"Kopt"
"41",0.126135216952573,1.6,"MiSPUw2"
"42",0.0575176589303734,1.6,"MiSPUwinf"
"43",0.0988900100908174,1.6,"aMiSPUw"
"44",0.0524722502522704,1.6,"aMiSPUu"
"45",0.0787083753784057,1.6,"aMiSPU"
"46",0.0433905146316852,2,"Ku"
"47",0.231079717457114,2,"K5"
"48",0.336024217961655,2,"Kw"
"49",0.203834510595358,2,"Kopt"
"50",0.18970736629667,2,"MiSPUw2"
"51",0.0615539858728557,2,"MiSPUwinf"
"52",0.127144298688194,2,"aMiSPUw"
"53",0.0524722502522704,2,"aMiSPUu"
"54",0.10393541876892,2,"aMiSPU"
