"power","x","Methods"
"1",0.0497987927565392,0,"Ku"
"2",0.0432595573440644,0,"K5"
"3",0.0503018108651912,0,"Kw"
"4",0.051307847082495,0,"Kopt"
"5",0.0392354124748491,0,"MiSPUw2"
"6",0.0382293762575453,0,"MiSPUwinf"
"7",0.0382293762575453,0,"aMiSPUw"
"8",0.0543259557344064,0,"aMiSPUu"
"9",0.039738430583501,0,"aMiSPU"
"10",0.0464177598385469,0.6,"Ku"
"11",0.0504540867810293,0.6,"K5"
"12",0.0565085771947528,0.6,"Kw"
"13",0.0322906155398587,0.6,"Kopt"
"14",0.0625630676084763,0.6,"MiSPUw2"
"15",0.0756811301715439,0.6,"MiSPUwinf"
"16",0.0696266397578204,0.6,"aMiSPUw"
"17",0.0625630676084763,0.6,"aMiSPUu"
"18",0.065590312815338,0.6,"aMiSPU"
"19",0.0586450960566229,0.8,"Ku"
"20",0.0738119312436805,0.8,"K5"
"21",0.076845298281092,0.8,"Kw"
"22",0.0505561172901921,0.8,"Kopt"
"23",0.0788675429726997,0.8,"MiSPUw2"
"24",0.106167846309403,0.8,"MiSPUwinf"
"25",0.0930232558139535,0.8,"aMiSPUw"
"26",0.0455005055611729,0.8,"aMiSPUu"
"27",0.0819009100101112,0.8,"aMiSPU"
"28",0.0444893832153691,1.2,"Ku"
"29",0.111223458038423,1.2,"K5"
"30",0.116279069767442,1.2,"Kw"
"31",0.0626895854398382,1.2,"Kopt"
"32",0.131445904954499,1.2,"MiSPUw2"
"33",0.179979777553084,1.2,"MiSPUwinf"
"34",0.160768452982811,1.2,"aMiSPUw"
"35",0.057633973710819,1.2,"aMiSPUu"
"36",0.134479271991911,1.2,"aMiSPU"
"37",0.0677451971688574,1.6,"Ku"
"38",0.146612740141557,1.6,"K5"
"39",0.158746208291203,1.6,"Kw"
"40",0.0859453993933266,1.6,"Kopt"
"41",0.170879676440849,1.6,"MiSPUw2"
"42",0.236602628918099,1.6,"MiSPUwinf"
"43",0.233569261880688,1.6,"aMiSPUw"
"44",0.0748230535894843,1.6,"aMiSPUu"
"45",0.179979777553084,1.6,"aMiSPU"
"46",0.057633973710819,2,"Ku"
"47",0.187057633973711,2,"K5"
"48",0.210313447927199,2,"Kw"
"49",0.136501516683519,2,"Kopt"
"50",0.234580384226491,2,"MiSPUw2"
"51",0.353892821031345,2,"MiSPUwinf"
"52",0.31850353892821,2,"aMiSPUw"
"53",0.0920121334681496,2,"aMiSPUu"
"54",0.261880687563195,2,"aMiSPU"
