"power","x","Methods"
"1",0.0534732633683158,0,"Ku"
"2",0.0594702648675662,0,"K5"
"3",0.0549725137431284,0,"Kw"
"4",0.0579710144927536,0,"Kopt"
"5",0.0529735132433783,0,"MiSPUw2"
"6",0.0484757621189405,0,"MiSPUwinf"
"7",0.0439780109945027,0,"aMiSPUw"
"8",0.0474762618690655,0,"aMiSPUu"
"9",0.0509745127436282,0,"aMiSPU"
"10",0.0539460539460539,0.6,"Ku"
"11",0.135864135864136,0.6,"K5"
"12",0.147852147852148,0.6,"Kw"
"13",0.108891108891109,0.6,"Kopt"
"14",0.178821178821179,0.6,"MiSPUw2"
"15",0.255744255744256,0.6,"MiSPUwinf"
"16",0.238761238761239,0.6,"aMiSPUw"
"17",0.042957042957043,0.6,"aMiSPUu"
"18",0.178821178821179,0.6,"aMiSPU"
"19",0.051948051948052,0.8,"Ku"
"20",0.221778221778222,0.8,"K5"
"21",0.221778221778222,0.8,"Kw"
"22",0.145854145854146,0.8,"Kopt"
"23",0.2997002997003,0.8,"MiSPUw2"
"24",0.411588411588412,0.8,"MiSPUwinf"
"25",0.393606393606394,0.8,"aMiSPUw"
"26",0.0649350649350649,0.8,"aMiSPUu"
"27",0.320679320679321,0.8,"aMiSPU"
"28",0.0869130869130869,1.2,"Ku"
"29",0.431568431568432,1.2,"K5"
"30",0.43956043956044,1.2,"Kw"
"31",0.312687312687313,1.2,"Kopt"
"32",0.553446553446553,1.2,"MiSPUw2"
"33",0.641358641358641,1.2,"MiSPUwinf"
"34",0.642357642357642,1.2,"aMiSPUw"
"35",0.104895104895105,1.2,"aMiSPUu"
"36",0.56043956043956,1.2,"aMiSPU"
"37",0.107892107892108,1.6,"Ku"
"38",0.617382617382617,1.6,"K5"
"39",0.616383616383616,1.6,"Kw"
"40",0.494505494505495,1.6,"Kopt"
"41",0.722277722277722,1.6,"MiSPUw2"
"42",0.803196803196803,1.6,"MiSPUwinf"
"43",0.801198801198801,1.6,"aMiSPUw"
"44",0.126873126873127,1.6,"aMiSPUu"
"45",0.737262737262737,1.6,"aMiSPU"
"46",0.108891108891109,2,"Ku"
"47",0.766233766233766,2,"K5"
"48",0.777222777222777,2,"Kw"
"49",0.678321678321678,2,"Kopt"
"50",0.868131868131868,2,"MiSPUw2"
"51",0.902097902097902,2,"MiSPUwinf"
"52",0.921078921078921,2,"aMiSPUw"
"53",0.133866133866134,2,"aMiSPUu"
"54",0.871128871128871,2,"aMiSPU"
